127.0.0.1 - - [27/Feb/2022:11:33:20 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:44:50 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:44:51 -0300] "GET /Clinica_Veterinaria/Especialidade.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:44:52 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:45:23 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:45:23 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:46:01 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:46:01 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:48:07 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:48:07 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:01 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:01 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:01 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:02 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:46 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:46 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:47 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:47 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:52 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:51:52 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:52:56 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:52:56 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:52:57 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:52:57 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:26 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:26 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:27 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:27 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:28 -0300] "GET /Clinica_Veterinaria/Especialidade.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:28 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:29 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:53:29 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:54:59 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:54:59 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:55:22 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:55:22 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:57:04 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:57:04 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:57:04 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:57:49 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:57:50 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:58:10 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:58:10 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:58:30 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:58:30 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:58:48 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:58:48 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:59:04 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:59:04 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:59:23 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:59:23 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:59:43 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:59:43 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:00:03 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:00:03 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:00:05 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:00:05 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:15 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:15 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:31 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:31 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:32 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:32 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:42 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:42 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:50 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:01:50 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:02:33 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:02:33 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:53 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:07:53 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:08:09 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:08:09 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:08:11 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:08:11 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:09:47 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:09:47 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:29:36 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:29:36 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:29:37 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:29:37 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:32:44 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:32:44 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:32:46 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:32:46 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:35:07 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:35:07 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:35:55 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:35:55 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:35:57 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:35:57 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:37:42 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:37:42 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:42:41 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:42:41 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:48:17 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:48:17 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:48:51 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:48:51 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:28 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:28 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:31 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:32 -0300] "GET /Clinica_Veterinaria/Especialidade.jsp HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:32 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:33 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:50:36 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:53:07 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:53:24 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:53:25 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:53:33 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:53:35 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:10:14 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:10:14 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:10:15 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:10:17 -0300] "GET /Clinica_Veterinaria/Especialidade.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [27/Feb/2022:14:29:00 -0300] "GET /Clinica_Veterinaria/Especialidade.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [27/Feb/2022:14:29:00 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 304 -
